epd,move,eval,depth,pv,engine
3q1rk1/5p2/1pQ1p1p1/p2p4/P2P2P1/1P2P3/6RP/6K1 b - -,e6e5,0,45,e6e5 d4e5 d5d4 c6f3 d4e3 g2g3 f8e8,Stockfish 15
3q1rk1/5p2/1pQ1p1p1/p2p4/P2P2P1/1P2P3/6RP/6K1 b - -,f8e8,0,45,f8e8 g2c2 g8g7 c6c7 d8g5 c7f4 g5f4,Stockfish 15
3q1rk1/5p2/1pQ1p1p1/p2p4/P2P2P1/1P2P3/6RP/6K1 b - -,d8b8,0,45,d8b8 g2c2 b8d8 c6c7 d8h4 c7g3 h4e7,Stockfish 15
3rrk2/p2n1p1B/1pq4p/2ppB1p1/2bP4/PnN1PP2/1PQ3PP/3RR1K1 w - -,f3f4,87,40,f3f4 c5d4 e3d4 g5f4 e5f4 e8e1 d1e1,Stockfish 050822
3rrk2/p2n1p1B/1pq4p/2ppB1p1/2bP4/PnN1PP2/1PQ3PP/3RR1K1 w - -,e5g3,0,40,e5g3 d7f6 d4c5 b3c5 c2b1 f6h7 b1h7,Stockfish 050822
3rrk2/p2n1p1B/1pq4p/2ppB1p1/2bP4/PnN1PP2/1PQ3PP/3RR1K1 w - -,e5h8,0,40,e5h8 c5d4 e3d4 d7f6 e1e8 d8e8 h2h4,Stockfish 050822
3rrk2/p2n1p1B/1pq4p/2ppB1p1/2bP4/PnN1PP2/1PQ3PP/3RR1K1 w - -,c3e2,-174,40,c3e2 d7e5 d4e5 e8e5 h7d3 b3a5 b2b4,Stockfish 050822
3rrk2/p2n1p1B/1pq4p/2ppB1p1/2bP4/PnN1PP2/1PQ3PP/3RR1K1 w - -,h7d3,-187,40,h7d3 c4d3 d1d3 d7e5 d4e5 c5c4 d3d1,Stockfish 050822
3rrk2/p2n1p1B/1pq4p/2ppB1p1/2bP4/PnN1PP2/1PQ3PP/3RR1K1 w - -,h2h4,-309,40,h2h4 d7e5 d4e5 e8e5 h7e4 c6d6 a3a4,Stockfish 050822
3rrk2/p2n1p1B/1pq4p/2ppB1p1/2bP4/PnN1PP2/1PQ3PP/3RR1K1 w - -,c3e4,-311,40,c3e4 c5d4 e5d6 f8g7 e4g3 g7h8 g3f5,Stockfish 050822
3rrk2/p2n1p1B/1pq4p/2ppB1p1/2bP4/PnN1PP2/1PQ3PP/3RR1K1 w - -,c2f5,-339,40,c2f5 d7e5 d4e5 f8g7 h2h4 e8h8 e5e6,Stockfish 050822
3rrk2/p2n1p1B/1pq4p/2ppB1p1/2bP4/PnN1PP2/1PQ3PP/3RR1K1 w - -,e3e4,-341,40,e3e4 d7e5 d4e5 e8e5 e4d5 e5e1 d1e1,Stockfish 050822
3rrk2/p2n1p1B/1pq4p/2ppB1p1/2bP4/PnN1PP2/1PQ3PP/3RR1K1 w - -,a3a4,-360,40,a3a4 d7e5 d4e5 e8e5 h7d3 c4d3 c2d3,Stockfish 050822
2r4k/5p1p/1prp1q1P/2n1p1p1/p3P1P1/P3BP2/1PP5/1KRR3Q w - -,d1d5,162,40,d1d5 h8g8 c1d1 g8f8 d1d2 c8a8 h1d1,Stockfish 050822
2r4k/5p1p/1prp1q1P/2n1p1p1/p3P1P1/P3BP2/1PP5/1KRR3Q w - -,h1h3,146,40,h1h3 h8g8 d1d5 f6e7 h3h2 g8f8 c1d1,Stockfish 050822
2r4k/5p1p/1prp1q1P/2n1p1p1/p3P1P1/P3BP2/1PP5/1KRR3Q w - -,d1f1,134,40,d1f1 c5e6 f1f2 b6b5 f2d2 h8g8 d2d5,Stockfish 050822
2r4k/5p1p/1prp1q1P/2n1p1p1/p3P1P1/P3BP2/1PP5/1KRR3Q w - -,h1h5,134,40,h1h5 c5e6 d1d2 h8g8 h5h1 b6b5 d2d5,Stockfish 050822
2r4k/5p1p/1prp1q1P/2n1p1p1/p3P1P1/P3BP2/1PP5/1KRR3Q w - -,b1a2,133,40,b1a2 h8g8 d1d5 g8f8 c1d1 c5a6 a2b1,Stockfish 050822
2r4k/5p1p/1prp1q1P/2n1p1p1/p3P1P1/P3BP2/1PP5/1KRR3Q w - -,e3g1,129,40,e3g1 h8g8 g1e3 g8f8 d1d5 f6e7 c1d1,Stockfish 050822
2r4k/5p1p/1prp1q1P/2n1p1p1/p3P1P1/P3BP2/1PP5/1KRR3Q w - -,b1a1,122,40,b1a1 h8g8 d1d5 f6e7 a1b1 f7f6 h1f1,Stockfish 050822
2r4k/5p1p/1prp1q1P/2n1p1p1/p3P1P1/P3BP2/1PP5/1KRR3Q w - -,d1e1,122,40,d1e1 h8g8 c1d1 f6e7 d1d5 g8f8 e1d1,Stockfish 050822
2r4k/5p1p/1prp1q1P/2n1p1p1/p3P1P1/P3BP2/1PP5/1KRR3Q w - -,h1g2,122,40,h1g2 h8g8 g2h3 g8f8 d1d5 f6d8 c1d1,Stockfish 050822
2r4k/5p1p/1prp1q1P/2n1p1p1/p3P1P1/P3BP2/1PP5/1KRR3Q w - -,e3d2,122,40,e3d2 h8g8 d2b4 g8f8 d1d5 f6e6 c1d1,Stockfish 050822
r2r2k1/ppq2pp1/2p1pnbp/8/3P3P/1QP2P2/P3P2P/R1B2BRK w - -,e2e4,-76,40,e2e4 g8h7 c1e3 c6c5 b3b2 c5d4 c3d4,Stockfish 050822
r2r2k1/ppq2pp1/2p1pnbp/8/3P3P/1QP2P2/P3P2P/R1B2BRK w - -,b3b2,-98,40,b3b2 c6c5 e2e4 c5d4 c3d4 a8c8 c1e3,Stockfish 050822
r2r2k1/ppq2pp1/2p1pnbp/8/3P3P/1QP2P2/P3P2P/R1B2BRK w - -,c1e3,-101,40,c1e3 g8h7 e3f2 f6h5 a2a4 b7b6 f2g3,Stockfish 050822
r2r2k1/ppq2pp1/2p1pnbp/8/3P3P/1QP2P2/P3P2P/R1B2BRK w - -,f1h3,-104,40,f1h3 g8h7 b3b2 f6h5 e2e4 c6c5 b2g2,Stockfish 050822
r2r2k1/ppq2pp1/2p1pnbp/8/3P3P/1QP2P2/P3P2P/R1B2BRK w - -,c1d2,-114,40,c1d2 g8h7 e2e4 c6c5 d2e3 b7b6 f1a6,Stockfish 050822
r2r2k1/ppq2pp1/2p1pnbp/8/3P3P/1QP2P2/P3P2P/R1B2BRK w - -,b3a3,-115,40,b3a3 f6h5 e2e4 b7b6 a3b2 c6c5 b2f2,Stockfish 050822
r2r2k1/ppq2pp1/2p1pnbp/8/3P3P/1QP2P2/P3P2P/R1B2BRK w - -,b3b4,-117,40,b3b4 b7b6 e2e4 c6c5 b4b2 f6h5 b2f2,Stockfish 050822
r2r2k1/ppq2pp1/2p1pnbp/8/3P3P/1QP2P2/P3P2P/R1B2BRK w - -,a2a4,-125,40,a2a4 c6c5 b3c4 b7b6 f1h3 g8h7 c1e3,Stockfish 050822
r2r2k1/ppq2pp1/2p1pnbp/8/3P3P/1QP2P2/P3P2P/R1B2BRK w - -,g1g6,-132,40,g1g6 f7g6 b3e6 g8h7 e2e4 c7a5 e6c4,Stockfish 050822
r2r2k1/ppq2pp1/2p1pnbp/8/3P3P/1QP2P2/P3P2P/R1B2BRK w - -,g1g2,-134,40,g1g2 c6c5 e2e4 a8c8 c1e3 c5d4 c3d4,Stockfish 050822
r2q1rk1/p1p1n1pp/1p1p4/P2Ppb2/1PP5/4b1P1/3QNPBP/R4RK1 w - -,f2e3,64,40,f2e3 e7g6 e3e4 f5d7 e2c3 f8f1 a1f1,Stockfish 050822
r2q1rk1/p1p1n1pp/1p1p4/P2Ppb2/1PP5/4b1P1/3QNPBP/R4RK1 w - -,d2e3,33,40,d2e3 d8e8 e2c3 f5d7 e3d3 e7f5 g2e4,Stockfish 050822
r2q1rk1/p1p1n1pp/1p1p4/P2Ppb2/1PP5/4b1P1/3QNPBP/R4RK1 w - -,d2b2,-733,40,d2b2 e3g5 h2h4 g5f6 a1a3 e5e4 b2d2,Stockfish 050822
r2q1rk1/p1p1n1pp/1p1p4/P2Ppb2/1PP5/4b1P1/3QNPBP/R4RK1 w - -,d2d1,-743,40,d2d1 e3h6 e2c3 f5g6 c3e4 e7f5 d1d3,Stockfish 050822
r2q1rk1/p1p1n1pp/1p1p4/P2Ppb2/1PP5/4b1P1/3QNPBP/R4RK1 w - -,d2c3,-753,40,d2c3 e3h6 b4b5 g8h8 a5b6 a7b6 a1a8,Stockfish 050822
r2q1rk1/p1p1n1pp/1p1p4/P2Ppb2/1PP5/4b1P1/3QNPBP/R4RK1 w - -,d2e1,-777,40,d2e1 e3h6 e1d1 f5g6 a1a2 e7f5 e2c3,Stockfish 050822
r2q1rk1/p1p1n1pp/1p1p4/P2Ppb2/1PP5/4b1P1/3QNPBP/R4RK1 w - -,d2a2,-793,40,d2a2 e3d4 a1d1 b6a5 e2d4 e5d4 b4a5,Stockfish 050822
r2q1rk1/p1p1n1pp/1p1p4/P2Ppb2/1PP5/4b1P1/3QNPBP/R4RK1 w - -,d2c1,-1307,40,d2c1 e3c1 a1c1 b6a5 b4a5 f5d3 e2c3,Stockfish 050822
r2q1rk1/p1p1n1pp/1p1p4/P2Ppb2/1PP5/4b1P1/3QNPBP/R4RK1 w - -,f1d1,-1435,40,f1d1 e3d2 d1d2 b6a5 a1a5 e7g6 a5a3,Stockfish 050822
r2q1rk1/p1p1n1pp/1p1p4/P2Ppb2/1PP5/4b1P1/3QNPBP/R4RK1 w - -,a1d1,-1526,40,a1d1 e3d2 d1d2 b6a5 b4b5 d8b8 g1h1,Stockfish 050822
r2q1r1k/ppp3bp/3pb3/6p1/2Pn4/1PN3BP/P2QBPP1/3RR1K1 w - -,e2g4,367,40,e2g4 e6f5 c3d5 c7c6 d5c3 f5g6 c3e2,Stockfish 050822
r2q1r1k/ppp3bp/3pb3/6p1/2Pn4/1PN3BP/P2QBPP1/3RR1K1 w - -,c3b5,364,40,c3b5 d4f5 e2d3 e6d7 d3f5 d7f5 b5c3,Stockfish 050822
r2q1r1k/ppp3bp/3pb3/6p1/2Pn4/1PN3BP/P2QBPP1/3RR1K1 w - -,e2h5,294,40,e2h5 e6f7 h5g4 f7g6 c3b5 d4c6 e1e3,Stockfish 050822
r2q1r1k/ppp3bp/3pb3/6p1/2Pn4/1PN3BP/P2QBPP1/3RR1K1 w - -,c3d5,251,40,c3d5 e6d5 c4d5 d8f6 d1c1 d4e2 e1e2,Stockfish 050822
r2q1r1k/ppp3bp/3pb3/6p1/2Pn4/1PN3BP/P2QBPP1/3RR1K1 w - -,g1h2,242,40,g1h2 e6f5 e2h5 d4c2 e1f1 c2d4 c3b5,Stockfish 050822
r2q1r1k/ppp3bp/3pb3/6p1/2Pn4/1PN3BP/P2QBPP1/3RR1K1 w - -,d2c1,208,40,d2c1 e6f5 e2d3 h7h6 c3e2 d4e6 d3f5,Stockfish 050822
r2q1r1k/ppp3bp/3pb3/6p1/2Pn4/1PN3BP/P2QBPP1/3RR1K1 w - -,d1c1,205,40,d1c1 h7h6 e2g4 e6g4 h3g4 d8d7 e1e4,Stockfish 050822
r2q1r1k/ppp3bp/3pb3/6p1/2Pn4/1PN3BP/P2QBPP1/3RR1K1 w - -,g1h1,177,40,g1h1 d8d7 h1g1 d4f5 e2g4 a8e8 g4f5,Stockfish 050822
r2q1r1k/ppp3bp/3pb3/6p1/2Pn4/1PN3BP/P2QBPP1/3RR1K1 w - -,c3e4,174,40,c3e4 h7h6 e4c3 d8f6 e2h5 e6f7 c3d5,Stockfish 050822
r2q1r1k/ppp3bp/3pb3/6p1/2Pn4/1PN3BP/P2QBPP1/3RR1K1 w - -,e2f1,170,40,e2f1 e6h3 c3e2 d4e2 f1e2 h3f5 e2f3,Stockfish 050822
5r1r/4k2p/p3qp2/2b1pQ1N/1p1p4/8/PPP3P1/1K2RR2 w - -,f5e4,28,40,f5e4 e7d6 e4b7 f8f7 b7a6 d6e7 a6a4,Stockfish 050822
5r1r/4k2p/p3qp2/2b1pQ1N/1p1p4/8/PPP3P1/1K2RR2 w - -,f5f3,14,40,f5f3 e7d6 f3b7 f8f7 b7a6 d6e7 a6a4,Stockfish 050822
5r1r/4k2p/p3qp2/2b1pQ1N/1p1p4/8/PPP3P1/1K2RR2 w - -,f5d3,0,40,f5d3 f8f7 f1f5 e7d7 h5f4 e6c6 e1e5,Stockfish 050822
5r1r/4k2p/p3qp2/2b1pQ1N/1p1p4/8/PPP3P1/1K2RR2 w - -,f5f2,-70,40,f5f2 e7d8 f2h4 d8c8 f1f6 f8f6 h4f6,Stockfish 050822
5r1r/4k2p/p3qp2/2b1pQ1N/1p1p4/8/PPP3P1/1K2RR2 w - -,a2a4,-681,40,a2a4 e6f5 f1f5 e7e6 g2g4 c5e7 h5f4,Stockfish 050822
5r1r/4k2p/p3qp2/2b1pQ1N/1p1p4/8/PPP3P1/1K2RR2 w - -,g2g4,-695,40,g2g4 e6f5 f1f5 c5d6 f5f4 h8g8 a2a3,Stockfish 050822
5r1r/4k2p/p3qp2/2b1pQ1N/1p1p4/8/PPP3P1/1K2RR2 w - -,c2c4,-715,40,c2c4 b4c3 f5e4 f8b8 e1e2 h8f8 g2g4,Stockfish 050822
5r1r/4k2p/p3qp2/2b1pQ1N/1p1p4/8/PPP3P1/1K2RR2 w - -,b1c1,-727,40,b1c1 e6f5 f1f5 e7e6 h5g7 e6d5 g7h5,Stockfish 050822
5r1r/4k2p/p3qp2/2b1pQ1N/1p1p4/8/PPP3P1/1K2RR2 w - -,e1e2,-729,40,e1e2 e6f5 f1f5 e7e6 f5f3 h8g8 h5f4,Stockfish 050822
5r1r/4k2p/p3qp2/2b1pQ1N/1p1p4/8/PPP3P1/1K2RR2 w - -,g2g3,-746,40,g2g3 e6f5 f1f5 e7e6 h5g7 e6d5 g7h5,Stockfish 050822
2r3k1/4np2/p3p1p1/1q1r1n1p/1p1P4/PN5R/1P2NPPP/3RQ1K1 b - -,c8c2,308,40,c8c2 b3c1 e7c6 a3b4 b5b6 c1d3 f5d4,Stockfish 050822
2r3k1/4np2/p3p1p1/1q1r1n1p/1p1P4/PN5R/1P2NPPP/3RQ1K1 b - -,d5d8,226,40,d5d8 h3d3 c8c2 d3d2 d8c8 a3b4 b5b4,Stockfish 050822
2r3k1/4np2/p3p1p1/1q1r1n1p/1p1P4/PN5R/1P2NPPP/3RQ1K1 b - -,b4a3,200,40,b4a3 b2a3 c8c2 h3d3 d5d6 h2h3 e7d5,Stockfish 050822
2r3k1/4np2/p3p1p1/1q1r1n1p/1p1P4/PN5R/1P2NPPP/3RQ1K1 b - -,d5d6,192,40,d5d6 h3d3 b4a3 b2a3 c8c2 h2h3 e7d5,Stockfish 050822
2r3k1/4np2/p3p1p1/1q1r1n1p/1p1P4/PN5R/1P2NPPP/3RQ1K1 b - -,c8b8,156,40,c8b8 a3b4 b5b4 h3c3 d5d6 b3c5 f5d4,Stockfish 050822
2r3k1/4np2/p3p1p1/1q1r1n1p/1p1P4/PN5R/1P2NPPP/3RQ1K1 b - -,a6a5,131,40,a6a5 a3b4 a5b4 h3d3 c8c2 e2f4 d5d6,Stockfish 050822
2r3k1/4np2/p3p1p1/1q1r1n1p/1p1P4/PN5R/1P2NPPP/3RQ1K1 b - -,c8c4,130,40,c8c4 h3d3 d5d8 h2h3 b4a3 b2a3 c4c2,Stockfish 050822
2r3k1/4np2/p3p1p1/1q1r1n1p/1p1P4/PN5R/1P2NPPP/3RQ1K1 b - -,c8d8,123,40,c8d8 a3b4 d5d6 h3d3 e7c6 e2c3 b5b4,Stockfish 050822
2r3k1/4np2/p3p1p1/1q1r1n1p/1p1P4/PN5R/1P2NPPP/3RQ1K1 b - -,e7c6,102,40,e7c6 a3b4 d5d8 h3c3 b5b4 d1c1 c8b8,Stockfish 050822
2r3k1/4np2/p3p1p1/1q1r1n1p/1p1P4/PN5R/1P2NPPP/3RQ1K1 b - -,b5b6,95,40,b5b6 a3b4 c8c4 h3d3 c4b4 b3c5 e7c6,Stockfish 050822
4r1k1/p4p1p/1bpp2p1/3p4/8/1P1Q2P1/P1P1rPKP/5R2 w - -,g2f3,17,45,g2f3 e2e4,Stockfish 15
4r1k1/p4p1p/1bpp2p1/3p4/8/1P1Q2P1/P1P1rPKP/5R2 w - -,b3b4,0,44,b3b4 e8e3 d3d1 c6c5 h2h4 c5b4 h4h5,Stockfish 15
4r1k1/p4p1p/1bpp2p1/3p4/8/1P1Q2P1/P1P1rPKP/5R2 w - -,d3c3,0,44,d3c3 e8e3 c3c6 e2d2 g2h1 e3e2 c6d6,Stockfish 15
4r1k1/p4p1p/1bpp2p1/3p4/8/1P1Q2P1/P1P1rPKP/5R2 w - -,d3d1,0,44,d3d1 e8e6 h2h4 h7h5 a2a4 b6a5 d1d4,Stockfish 15
4r1k1/p4p1p/1bpp2p1/3p4/8/1P1Q2P1/P1P1rPKP/5R2 w - -,h2h4,0,44,h2h4 e8e3 d3d1 h7h5 b3b4 a7a5 a2a3,Stockfish 15
4r1k1/p4p1p/1bpp2p1/3p4/8/1P1Q2P1/P1P1rPKP/5R2 w - -,a2a3,0,44,a2a3 e8e3 d3d1 h7h5 h2h4 e3e5 d1d3,Stockfish 15
4r1k1/p4p1p/1bpp2p1/3p4/8/1P1Q2P1/P1P1rPKP/5R2 w - -,g2g1,0,44,g2g1 b6c5 a2a4 a7a5 d3c3 e8e4 g1h1,Stockfish 15
4r1k1/p4p1p/1bpp2p1/3p4/8/1P1Q2P1/P1P1rPKP/5R2 w - -,g2h1,-26,44,g2h1 e8e7 a2a3 b6f2 d3c3 f2c5 b3b4,Stockfish 15
4r1k1/p4p1p/1bpp2p1/3p4/8/1P1Q2P1/P1P1rPKP/5R2 w - -,g2h3,-28,44,g2h3 e8e7 d3c3 c6c5 c3d3 c5c4 b3c4,Stockfish 15
4r1k1/p4p1p/1bpp2p1/3p4/8/1P1Q2P1/P1P1rPKP/5R2 w - -,a2a4,-38,44,a2a4 e8e3 d3d1 a7a5 h2h4 h7h5 g2h3,Stockfish 15
2r1r1k1/pN2b1p1/2p4p/1p1nBp1P/3P2n1/1NP5/PP2KPP1/3R3R b - -,e7f6,0,40,e7f6 h1e1 f6e5 d4e5 e8e5 e2f1 c8e8,Stockfish 050822
2r1r1k1/pN2b1p1/2p4p/1p1nBp1P/3P2n1/1NP5/PP2KPP1/3R3R b - -,e7f8,-71,40,e7f8 e2f3 g4e5 d4e5 e8e5 d1e1 e5e1,Stockfish 050822
2r1r1k1/pN2b1p1/2p4p/1p1nBp1P/3P2n1/1NP5/PP2KPP1/3R3R b - -,d5b6,-85,40,d5b6 f2f4 b6c4 d1b1 c6c5 h1c1 a7a6,Stockfish 050822
2r1r1k1/pN2b1p1/2p4p/1p1nBp1P/3P2n1/1NP5/PP2KPP1/3R3R b - -,g4e5,-105,40,g4e5 d4e5 c8c7 b7a5 e7g5 h1e1 e8e5,Stockfish 050822
2r1r1k1/pN2b1p1/2p4p/1p1nBp1P/3P2n1/1NP5/PP2KPP1/3R3R b - -,e7g5,-118,40,e7g5 h1e1 g4e5 d4e5 e8e5 e2f3 e5e1,Stockfish 050822
2r1r1k1/pN2b1p1/2p4p/1p1nBp1P/3P2n1/1NP5/PP2KPP1/3R3R b - -,e7a3,-142,40,e7a3 b2a3 d5c3 e2f3 c3d1 h1d1 g4e5,Stockfish 050822
2r1r1k1/pN2b1p1/2p4p/1p1nBp1P/3P2n1/1NP5/PP2KPP1/3R3R b - -,a7a6,-174,40,a7a6 e2f3 c6c5 e5g3 c5d4 b3d4 f5f4,Stockfish 050822
2r1r1k1/pN2b1p1/2p4p/1p1nBp1P/3P2n1/1NP5/PP2KPP1/3R3R b - -,a7a5,-178,40,a7a5 b3a5 c8a8 a2a3 a8a7 h1h3 g4e5,Stockfish 050822
2r1r1k1/pN2b1p1/2p4p/1p1nBp1P/3P2n1/1NP5/PP2KPP1/3R3R b - -,g8h7,-210,40,g8h7 h1e1 g4e5 d4e5 e7f6 b7d6 e8e5,Stockfish 050822
2r1r1k1/pN2b1p1/2p4p/1p1nBp1P/3P2n1/1NP5/PP2KPP1/3R3R b - -,c6c5,-255,40,c6c5 d4c5 d5b6 c5b6 g4e5 b6a7 e5c4,Stockfish 050822
5rk1/3n4/3Rp1p1/2P2q1p/1p1P2n1/6P1/1B1NQ2P/6K1 b - -,f5c2,392,40,f5c2 d6d7 c2b2 e2e6 g8h8 d7f7 b2d4,Stockfish 050822
5rk1/3n4/3Rp1p1/2P2q1p/1p1P2n1/6P1/1B1NQ2P/6K1 b - -,f8f7,0,40,f8f7 d6e6 f5c2 e6e8 d7f8 d2c4 c2b1,Stockfish 050822
5rk1/3n4/3Rp1p1/2P2q1p/1p1P2n1/6P1/1B1NQ2P/6K1 b - -,d7f6,-69,40,d7f6 e2e6 f5e6 d6e6 g8f7 e6e2 f8e8,Stockfish 050822
5rk1/3n4/3Rp1p1/2P2q1p/1p1P2n1/6P1/1B1NQ2P/6K1 b - -,d7c5,-372,40,d7c5 d4c5 f5c5 d6d4 e6e5 e2c4 c5c4,Stockfish 050822
5rk1/3n4/3Rp1p1/2P2q1p/1p1P2n1/6P1/1B1NQ2P/6K1 b - -,g4f6,-520,40,g4f6 e2e6 f5e6 d6e6 g8f7 e6a6 f7e7,Stockfish 050822
5rk1/3n4/3Rp1p1/2P2q1p/1p1P2n1/6P1/1B1NQ2P/6K1 b - -,f5f2,-558,40,f5f2 e2f2 f8f2 c5c6 d7f8 c6c7 f2d2,Stockfish 050822
5rk1/3n4/3Rp1p1/2P2q1p/1p1P2n1/6P1/1B1NQ2P/6K1 b - -,d7b8,-732,40,d7b8 e2e6 f5e6 d6e6 g8f7 d4d5 f8d8,Stockfish 050822
5rk1/3n4/3Rp1p1/2P2q1p/1p1P2n1/6P1/1B1NQ2P/6K1 b - -,f5f7,-791,40,f5f7 h2h3 g4f6 d2f3 g6g5 c5c6 d7b6,Stockfish 050822
5rk1/3n4/3Rp1p1/2P2q1p/1p1P2n1/6P1/1B1NQ2P/6K1 b - -,f8f6,-793,40,f8f6 d6d7 f5c2 c5c6 c2c6 d7d8 f6f8,Stockfish 050822
5rk1/3n4/3Rp1p1/2P2q1p/1p1P2n1/6P1/1B1NQ2P/6K1 b - -,e6e5,-924,40,e6e5 c5c6 d7b6 d4e5 f5c2 b2d4 b4b3,Stockfish 050822
2b2q1k/2p4p/1rNn1p2/1p1P4/p3p3/P1P5/1P1Q2PP/1B1R2K1 w - -,d1f1,376,40,d1f1 f8g7 d2f4 c8d7 b1e4 g7g5 e4d3,Stockfish 050822
2b2q1k/2p4p/1rNn1p2/1p1P4/p3p3/P1P5/1P1Q2PP/1B1R2K1 w - -,d2d4,331,40,d2d4 c8f5 d1f1 f8g7 d4f2 g7h6 f2e1,Stockfish 050822
2b2q1k/2p4p/1rNn1p2/1p1P4/p3p3/P1P5/1P1Q2PP/1B1R2K1 w - -,d2f4,77,40,d2f4 f6f5 g1h1 c8d7 g2g4 d7c6 d5c6,Stockfish 050822
2b2q1k/2p4p/1rNn1p2/1p1P4/p3p3/P1P5/1P1Q2PP/1B1R2K1 w - -,d2e1,61,40,d2e1 f6f5 e1h4 c8d7 c6e5 d7e8 h4d8,Stockfish 050822
2b2q1k/2p4p/1rNn1p2/1p1P4/p3p3/P1P5/1P1Q2PP/1B1R2K1 w - -,d1e1,44,40,d1e1 f6f5 d2g5 h7h6 g5f4 f8f6 h2h4,Stockfish 050822
2b2q1k/2p4p/1rNn1p2/1p1P4/p3p3/P1P5/1P1Q2PP/1B1R2K1 w - -,d2e3,31,40,d2e3 c8d7 e3f4 d7c6 d5c6 b6c6 b1a2,Stockfish 050822
2b2q1k/2p4p/1rNn1p2/1p1P4/p3p3/P1P5/1P1Q2PP/1B1R2K1 w - -,h2h3,26,40,h2h3 c8b7 d2d4 b7c6 d5c6 f8e7 d1f1,Stockfish 050822
2b2q1k/2p4p/1rNn1p2/1p1P4/p3p3/P1P5/1P1Q2PP/1B1R2K1 w - -,d2c1,26,40,d2c1 c8d7 c1f4 d7c6 d5c6 b6c6 b1a2,Stockfish 050822
2b2q1k/2p4p/1rNn1p2/1p1P4/p3p3/P1P5/1P1Q2PP/1B1R2K1 w - -,d2f2,25,40,d2f2 c8d7 f2f4 d7c6 d5c6 b6c6 b1a2,Stockfish 050822
2b2q1k/2p4p/1rNn1p2/1p1P4/p3p3/P1P5/1P1Q2PP/1B1R2K1 w - -,b1a2,11,40,b1a2 c8d7 d2f4 f6f5 g1f1 f8f6 g2g4,Stockfish 050822
1b1qrr2/1p4pk/1np4p/p3Np1B/Pn1P4/R1N3B1/1Pb2PPP/2Q1R1K1 b - -,b8e5,174,40,b8e5 d4e5 b4d3 c1c2 d3e1 c2b1 g7g6,Stockfish 050822
1b1qrr2/1p4pk/1np4p/p3Np1B/Pn1P4/R1N3B1/1Pb2PPP/2Q1R1K1 b - -,e8e6,0,40,e8e6 c3e2 e6f6 e2f4 g7g5 f4g6 f5f4,Stockfish 050822
1b1qrr2/1p4pk/1np4p/p3Np1B/Pn1P4/R1N3B1/1Pb2PPP/2Q1R1K1 b - -,f5f4,-199,40,f5f4 g3f4 e8e6 h5g4 e6g6 e5g6 c2g6,Stockfish 050822
1b1qrr2/1p4pk/1np4p/p3Np1B/Pn1P4/R1N3B1/1Pb2PPP/2Q1R1K1 b - -,e8e5,-245,40,e8e5 d4e5 b4d3 c1c2 d3e1 c2e2 f5f4,Stockfish 050822
1b1qrr2/1p4pk/1np4p/p3Np1B/Pn1P4/R1N3B1/1Pb2PPP/2Q1R1K1 b - -,b6c4,-282,40,b6c4 h5g6 h7g8 g6e8 b8e5 g3e5 f8e8,Stockfish 050822
1b1qrr2/1p4pk/1np4p/p3Np1B/Pn1P4/R1N3B1/1Pb2PPP/2Q1R1K1 b - -,e8e7,-356,40,e8e7 h5g6 h7g8 g3h4 d8c7 h4e7 c7e7,Stockfish 050822
1b1qrr2/1p4pk/1np4p/p3Np1B/Pn1P4/R1N3B1/1Pb2PPP/2Q1R1K1 b - -,b8d6,-415,40,b8d6 h5e8 f8e8 e5f7 e8e1 c1e1 d8e7,Stockfish 050822
1b1qrr2/1p4pk/1np4p/p3Np1B/Pn1P4/R1N3B1/1Pb2PPP/2Q1R1K1 b - -,d8c8,-454,40,d8c8 h5g6 h7g8 g6e8 f8e8 e5f3 e8d8,Stockfish 050822
1b1qrr2/1p4pk/1np4p/p3Np1B/Pn1P4/R1N3B1/1Pb2PPP/2Q1R1K1 b - -,d8g5,-523,40,d8g5 h5g6 h7g8 g3f4 g5d8 g6e8 f8e8,Stockfish 050822
1b1qrr2/1p4pk/1np4p/p3Np1B/Pn1P4/R1N3B1/1Pb2PPP/2Q1R1K1 b - -,h7g8,-531,40,h7g8 h5e8 f8e8 e5f3 e8f8 g3b8 d8b8,Stockfish 050822
r1r1q1k1/1n1b2bp/p4pp1/1p6/2pNP2B/Q1P5/P1B2PPP/3RR1K1 w - -,e4e5,106,40,e4e5 f6e5 c2e4 a8b8 e4d5 g8h8 d5b7,Stockfish 050822
r1r1q1k1/1n1b2bp/p4pp1/1p6/2pNP2B/Q1P5/P1B2PPP/3RR1K1 w - -,a3c1,98,40,a3c1 e8f7 h2h3 b7c5 c1e3 c8e8 f2f4,Stockfish 050822
r1r1q1k1/1n1b2bp/p4pp1/1p6/2pNP2B/Q1P5/P1B2PPP/3RR1K1 w - -,h2h3,98,40,h2h3 e8f7 a3c1 c8e8 f2f4 b7c5 c1e3,Stockfish 050822
r1r1q1k1/1n1b2bp/p4pp1/1p6/2pNP2B/Q1P5/P1B2PPP/3RR1K1 w - -,f2f4,98,40,f2f4 b7c5 a3c1 e8f7 c1e3 c8e8 h2h3,Stockfish 050822
